Price,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,BOVA11.SA,BRL=X,BZ=F,CL=F,EURBRL=X,GC=F,IVVB11.SA,SMAL11.SA,ZC=F,ZS=F,^BVSP,^DJI,^GSPC,^IXIC,BOVA11.SA,BRL=X,BZ=F,CL=F,EURBRL=X,GC=F,IVVB11.SA,SMAL11.SA,ZC=F,ZS=F,^BVSP,^DJI,^GSPC,^IXIC,BOVA11.SA,BRL=X,BZ=F,CL=F,EURBRL=X,GC=F,IVVB11.SA,SMAL11.SA,ZC=F,ZS=F,^BVSP,^DJI,^GSPC,^IXIC,BOVA11.SA,BRL=X,BZ=F,CL=F,EURBRL=X,GC=F,IVVB11.SA,SMAL11.SA,ZC=F,ZS=F,^BVSP,^DJI,^GSPC,^IXIC,BOVA11.SA,BRL=X,BZ=F,CL=F,EURBRL=X,GC=F,IVVB11.SA,SMAL11.SA,ZC=F,ZS=F,^BVSP,^DJI,^GSPC,^IXIC,BOVA11.SA,BRL=X,BZ=F,CL=F,EURBRL=X,GC=F,IVVB11.SA,SMAL11.SA,ZC=F,ZS=F,^BVSP,^DJI,^GSPC,^IXIC
data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-13,123.31999969482422,,,,,,246.5,150.41000366210938,,,128168.0,,,,123.31999969482422,,,,,,246.5,150.41000366210938,,,128168.0,,,,123.5,,,,,,247.83999633789062,150.63999938964844,,,128420.0,,,,121.61000061035156,,,,,,245.2100067138672,148.50999450683594,,,126441.0,,,,122.19999694824219,,,,,,247.42999267578125,148.6300048828125,,,127594.0,,,,5575780.0,,,,,,108767.0,75203.0,,,7152000.0,,,
2021-07-14,123.47000122070312,5.162399768829346,74.76000213623047,73.12999725341797,6.077099800109863,1824.300048828125,242.2100067138672,151.60000610351562,683.0,1467.75,128407.0,34933.23046875,4374.2998046875,14644.9501953125,123.47000122070312,5.162399768829346,74.76000213623047,73.12999725341797,6.077099800109863,1824.300048828125,242.2100067138672,151.60000610351562,683.0,1467.75,128407.0,34933.23046875,4374.2998046875,14644.9501953125,124.70999908447266,5.164100170135498,76.70999908447266,75.44000244140625,6.093299865722656,1829.0,244.64999389648438,152.02999877929688,687.0,1475.75,129620.0,35069.1796875,4393.68017578125,14790.5498046875,123.19999694824219,5.066299915313721,73.76000213623047,72.20999908447266,5.988800048828125,1813.0999755859375,240.8699951171875,150.0,682.0,1438.0,128085.0,34826.87109375,4362.35986328125,14632.9501953125,124.30000305175781,5.161399841308594,76.4000015258789,75.16999816894531,6.076099872589111,1813.0999755859375,243.00999450683594,151.22999572753906,682.0,1438.0,128169.0,34920.828125,4380.10986328125,14780.900390625,6411294.0,0.0,49772.0,528360.0,0.0,707.0,390755.0,136733.0,88996.0,36423.0,0.0,344340000.0,4006370000.0,4496220000.0
2021-07-15,122.80000305175781,5.069900035858154,73.47000122070312,71.6500015258789,5.997700214385986,1828.4000244140625,242.3000030517578,149.75,564.25,1447.5,127468.0,34987.01953125,4360.02978515625,14543.1298828125,122.80000305175781,5.069900035858154,73.47000122070312,71.6500015258789,5.997700214385986,1828.4000244140625,242.3000030517578,149.75,564.25,1447.5,127468.0,34987.01953125,4360.02978515625,14543.1298828125,124.06999969482422,5.121600151062012,74.63999938964844,72.95999908447266,6.047900199890137,1833.0,242.6999969482422,151.6699981689453,571.5,1461.0,128976.0,34990.41015625,4369.02001953125,14650.3701171875,122.08000183105469,5.055826187133789,73.16000366210938,71.4000015258789,5.968400001525879,1823.4000244140625,240.32000732421875,149.25,561.0,1440.75,126922.0,34762.87109375,4340.7001953125,14451.7998046875,123.2300033569336,5.070300102233887,74.55000305175781,72.95999908447266,5.998000144958496,1831.5999755859375,240.75,151.0,568.5,1453.25,128407.0,34924.80859375,4369.02001953125,14635.7802734375,3984066.0,0.0,41748.0,368679.0,0.0,99.0,167951.0,225533.0,69356.0,30128.0,7418600.0,320450000.0,3905230000.0,4512550000.0
2021-07-16,121.1500015258789,5.110000133514404,73.58999633789062,71.80999755859375,6.033699989318848,1814.5,241.39999389648438,148.60000610351562,556.0,1454.75,125960.0,34687.8515625,4327.16015625,14427.240234375,121.1500015258789,5.110000133514404,73.58999633789062,71.80999755859375,6.033699989318848,1814.5,241.39999389648438,148.60000610351562,556.0,1454.75,125960.0,34687.8515625,4327.16015625,14427.240234375,123.13999938964844,5.123899936676025,74.06999969482422,72.30000305175781,6.042500019073486,1831.4000244140625,243.27999877929688,150.85000610351562,570.5,1473.75,128010.0,35090.01171875,4375.08984375,14623.01953125,121.04000091552734,5.074900150299072,72.33999633789062,70.41000366210938,5.991300106048584,1814.5,239.82000732421875,148.60000610351562,553.25,1444.0,125808.0,34647.8203125,4322.52978515625,14413.3203125,123.01000213623047,5.110300064086914,73.26000213623047,71.4800033569336,6.035299777984619,1830.0999755859375,242.3000030517578,150.1999969482422,564.0,1449.5,127468.0,35007.94140625,4367.43017578125,14597.509765625,6732086.0,0.0,33536.0,133926.0,0.0,78.0,215242.0,170286.0,83019.0,31628.0,7355800.0,322980000.0,3985700000.0,4069530000.0
2021-07-19,119.73999786376953,5.1153998374938965,68.62000274658203,66.41999816894531,6.035299777984619,1808.699951171875,242.3000030517578,146.5500030517578,556.0,1428.0,124395.0,33962.0390625,4258.490234375,14274.98046875,119.73999786376953,5.1153998374938965,68.62000274658203,66.41999816894531,6.035299777984619,1808.699951171875,242.3000030517578,146.5500030517578,556.0,1428.0,124395.0,33962.0390625,4258.490234375,14274.98046875,119.9000015258789,5.2153000831604,73.29000091552734,71.66999816894531,6.1539998054504395,1813.4000244140625,242.64999389648438,148.0,571.5,1480.0,125958.0,34528.48046875,4296.39990234375,14313.599609375,118.63999938964844,5.111008167266846,67.8499984741211,65.62999725341797,5.999100208282471,1803.300048828125,239.14999389648438,145.5399932861328,548.75,1426.25,123317.0,33741.76171875,4233.1298828125,14178.66015625,119.5,5.115300178527832,73.0,71.48999786376953,6.007999897003174,1803.300048828125,241.39999389648438,148.0,570.0,1475.0,125958.0,34528.48046875,4296.39990234375,14235.98046875,6584011.0,0.0,58659.0,82565.0,0.0,33.0,459195.0,119167.0,67343.0,24475.0,9210200.0,440440000.0,5157660000.0,4537130000.0
2021-07-20,120.5999984741211,5.250899791717529,69.3499984741211,67.41999816894531,6.190100193023682,1810.9000244140625,246.38999938964844,148.0,571.75,1443.5,125401.0,34511.98828125,4323.06005859375,14498.8798828125,120.5999984741211,5.250899791717529,69.3499984741211,67.41999816894531,6.190100193023682,1810.9000244140625,246.38999938964844,148.0,571.75,1443.5,125401.0,34511.98828125,4323.06005859375,14498.8798828125,120.83999633789062,5.291500091552734,69.7300033569336,67.6500015258789,6.2170000076293945,1824.0,246.38999938964844,148.49000549316406,576.25,1452.75,125631.0,34621.7890625,4336.83984375,14555.75,118.87999725341797,5.206699848175049,67.41999816894531,65.20999908447266,6.121699810028076,1810.9000244140625,244.07000732421875,146.2100067138672,557.25,1429.25,123631.0,33981.7890625,4262.0498046875,14271.23046875,119.37999725341797,5.250500202178955,68.76000213623047,66.5999984741211,6.19189977645874,1812.9000244140625,244.58999633789062,146.89999389648438,558.0,1434.25,124395.0,33981.7890625,4265.10986328125,14330.4599609375,7013706.0,0.0,43067.0,561629.0,0.0,128.0,295967.0,90126.0,77004.0,33664.0,7627500.0,387020000.0,4438270000.0,4652450000.0
2021-07-21,121.12000274658203,5.219900131225586,72.2300033569336,70.30000305175781,6.14739990234375,1802.9000244140625,246.35000610351562,148.0,571.75,1439.25,125929.0,34798.0,4358.68994140625,14631.9501953125,121.12000274658203,5.219900131225586,72.2300033569336,70.30000305175781,6.14739990234375,1802.9000244140625,246.35000610351562,148.0,571.75,1439.25,125929.0,34798.0,4358.68994140625,14631.9501953125,121.27999877929688,5.275199890136719,72.36000061035156,70.51000213623047,6.21750020980835,1807.0,248.8699951171875,148.9600067138672,579.0,1451.5,126112.0,34820.23828125,4359.7001953125,14633.1396484375,120.45999908447266,5.217896938323975,68.63999938964844,66.44000244140625,6.121399879455566,1800.0,245.00999450683594,147.44000244140625,567.75,1428.75,125247.0,34556.9609375,4331.1298828125,14498.650390625,120.6500015258789,5.219399929046631,68.73999786376953,66.44999694824219,6.148499965667725,1807.0,247.2899932861328,148.00999450683594,572.0,1449.25,125404.0,34556.9609375,4331.1298828125,14508.75,4196626.0,0.0,43341.0,503030.0,0.0,135.0,244805.0,137537.0,78998.0,21426.0,7148900.0,317090000.0,3810280000.0,4098520000.0
2021-07-22,121.43000030517578,5.187300205230713,73.79000091552734,71.91000366210938,6.114299774169922,1805.0,248.8699951171875,149.25,564.5,1416.25,126147.0,34823.3515625,4367.47998046875,14684.599609375,121.43000030517578,5.187300205230713,73.79000091552734,71.91000366210938,6.114299774169922,1805.0,248.8699951171875,149.25,564.5,1416.25,126147.0,34823.3515625,4367.47998046875,14684.599609375,121.5999984741211,5.221399784088135,73.9000015258789,72.02999877929688,6.161499977111816,1805.0,248.8699951171875,149.5,571.75,1440.25,126428.0,34879.28125,4369.8701171875,14694.1904296875,120.5999984741211,5.1687798500061035,71.75,69.86000061035156,6.088500022888184,1793.5999755859375,245.27000427246094,147.8800048828125,555.0,1391.25,125416.0,34673.03125,4350.06005859375,14617.8701171875,121.08000183105469,5.185373783111572,72.0999984741211,70.22000122070312,6.114799976348877,1793.5999755859375,245.8000030517578,148.0,571.5,1439.75,125930.0,34799.6796875,4361.27001953125,14652.7197265625,2217205.0,0.0,34425.0,435181.0,0.0,2.0,162103.0,659651.0,81023.0,30714.0,6480400.0,291610000.0,3358300000.0,3597540000.0
