fonte,codigo_sgs,ticker,nome_variavel,nome_original,descricao,grupo,tipo,moeda,unidade,frequencia_original,frequencia_final,agregacao_mensal,campo_preco,periodo_coleta,variavel_calculada,fluxo,metrica_origem,formula,nivel_detalhamento,codigo_ncm,produto,grupo_produto
Comex Stat/MDIC,,,comex_ncm_10059010_milho_em_grao_exportacoes_fob_usd,metricFOB,"Exportações brasileiras de Milho em grão, exceto para semeadura. para o mundo, NCM 10059010, em dólares FOB.",comercio_exterior,valor_monetario,USD,US$ FOB,mensal,mensal,valor mensal oficial,,2020-01 até o último mês disponível,False,exportacao,metricFOB,,NCM Brasil-mundo,10059010,milho_em_grao,agropecuaria
Comex Stat/MDIC,,,comex_ncm_10059010_milho_em_grao_exportacoes_kg,metricKG,"Peso líquido das exportações brasileiras de Milho em grão, exceto para semeadura. para o mundo, NCM 10059010.",comercio_exterior,peso_liquido,,kg líquido,mensal,mensal,valor mensal oficial,,2020-01 até o último mês disponível,False,exportacao,metricKG,,NCM Brasil-mundo,10059010,milho_em_grao,agropecuaria
Comex Stat/MDIC,,,comex_ncm_10059010_milho_em_grao_importacoes_fob_usd,metricFOB,"Importações brasileiras de Milho em grão, exceto para semeadura. provenientes do mundo, NCM 10059010, em dólares FOB.",comercio_exterior,valor_monetario,USD,US$ FOB,mensal,mensal,valor mensal oficial,,2020-01 até o último mês disponível,False,importacao,metricFOB,,NCM Brasil-mundo,10059010,milho_em_grao,agropecuaria
Comex Stat/MDIC,,,comex_ncm_10059010_milho_em_grao_importacoes_kg,metricKG,"Peso líquido das importações brasileiras de Milho em grão, exceto para semeadura. provenientes do mundo, NCM 10059010.",comercio_exterior,peso_liquido,,kg líquido,mensal,mensal,valor mensal oficial,,2020-01 até o último mês disponível,False,importacao,metricKG,,NCM Brasil-mundo,10059010,milho_em_grao,agropecuaria
Comex Stat/MDIC,,,comex_ncm_12019000_soja_exceto_semeadura_exportacoes_fob_usd,metricFOB,"Exportações brasileiras de Soja, mesmo triturada, exceto para semeadura. para o mundo, NCM 12019000, em dólares FOB.",comercio_exterior,valor_monetario,USD,US$ FOB,mensal,mensal,valor mensal oficial,,2020-01 até o último mês disponível,False,exportacao,metricFOB,,NCM Brasil-mundo,12019000,soja_exceto_semeadura,agropecuaria
Comex Stat/MDIC,,,comex_ncm_12019000_soja_exceto_semeadura_exportacoes_kg,metricKG,"Peso líquido das exportações brasileiras de Soja, mesmo triturada, exceto para semeadura. para o mundo, NCM 12019000.",comercio_exterior,peso_liquido,,kg líquido,mensal,mensal,valor mensal oficial,,2020-01 até o último mês disponível,False,exportacao,metricKG,,NCM Brasil-mundo,12019000,soja_exceto_semeadura,agropecuaria
Comex Stat/MDIC,,,comex_ncm_12019000_soja_exceto_semeadura_importacoes_fob_usd,metricFOB,"Importações brasileiras de Soja, mesmo triturada, exceto para semeadura. provenientes do mundo, NCM 12019000, em dólares FOB.",comercio_exterior,valor_monetario,USD,US$ FOB,mensal,mensal,valor mensal oficial,,2020-01 até o último mês disponível,False,importacao,metricFOB,,NCM Brasil-mundo,12019000,soja_exceto_semeadura,agropecuaria
Comex Stat/MDIC,,,comex_ncm_12019000_soja_exceto_semeadura_importacoes_kg,metricKG,"Peso líquido das importações brasileiras de Soja, mesmo triturada, exceto para semeadura. provenientes do mundo, NCM 12019000.",comercio_exterior,peso_liquido,,kg líquido,mensal,mensal,valor mensal oficial,,2020-01 até o último mês disponível,False,importacao,metricKG,,NCM Brasil-mundo,12019000,soja_exceto_semeadura,agropecuaria
Comex Stat/MDIC,,,comex_ncm_17011400_acucares_cana_exportacoes_fob_usd,metricFOB,"Exportações brasileiras de Outros açúcares de cana. para o mundo, NCM 17011400, em dólares FOB.",comercio_exterior,valor_monetario,USD,US$ FOB,mensal,mensal,valor mensal oficial,,2020-01 até o último mês disponível,False,exportacao,metricFOB,,NCM Brasil-mundo,17011400,acucares_cana,agroindustria
Comex Stat/MDIC,,,comex_ncm_17011400_acucares_cana_exportacoes_kg,metricKG,"Peso líquido das exportações brasileiras de Outros açúcares de cana. para o mundo, NCM 17011400.",comercio_exterior,peso_liquido,,kg líquido,mensal,mensal,valor mensal oficial,,2020-01 até o último mês disponível,False,exportacao,metricKG,,NCM Brasil-mundo,17011400,acucares_cana,agroindustria
Comex Stat/MDIC,,,comex_ncm_17011400_acucares_cana_importacoes_fob_usd,metricFOB,"Importações brasileiras de Outros açúcares de cana. provenientes do mundo, NCM 17011400, em dólares FOB.",comercio_exterior,valor_monetario,USD,US$ FOB,mensal,mensal,valor mensal oficial,,2020-01 até o último mês disponível,False,importacao,metricFOB,,NCM Brasil-mundo,17011400,acucares_cana,agroindustria
Comex Stat/MDIC,,,comex_ncm_17011400_acucares_cana_importacoes_kg,metricKG,"Peso líquido das importações brasileiras de Outros açúcares de cana. provenientes do mundo, NCM 17011400.",comercio_exterior,peso_liquido,,kg líquido,mensal,mensal,valor mensal oficial,,2020-01 até o último mês disponível,False,importacao,metricKG,,NCM Brasil-mundo,17011400,acucares_cana,agroindustria
Comex Stat/MDIC,,,comex_ncm_23040090_residuos_oleo_soja_exportacoes_fob_usd,metricFOB,"Exportações brasileiras de Bagaços e outros resíduos sólidos da extração do óleo de soja. para o mundo, NCM 23040090, em dólares FOB.",comercio_exterior,valor_monetario,USD,US$ FOB,mensal,mensal,valor mensal oficial,,2020-01 até o último mês disponível,False,exportacao,metricFOB,,NCM Brasil-mundo,23040090,residuos_oleo_soja,agroindustria
