data,fonte,nome,grupo,valor,fluxo,metrica_origem,unidade,tipo,descricao,variavel_calculada,formula,frequencia_original,frequencia_final
1999-03-31,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,7960429322,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
1999-04-30,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,7459251694,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
1999-05-31,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,8554315030,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
1999-06-30,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,8849996530,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
1999-07-31,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,8227315248,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
1999-08-31,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,8815421981,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
1999-09-30,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,8498420890,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
1999-10-31,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,8838445944,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
1999-11-30,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,8614263412,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
1999-12-31,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,9193819831,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
2000-01-31,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,7101344630,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
2000-02-29,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,8253862180,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
2000-03-31,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,9002770152,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
2000-04-30,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,8248505885,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
2000-05-31,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,9836670122,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
2000-06-30,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,9531811331,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
2000-07-31,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,9960721969,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
2000-08-31,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,11018381650,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
2000-09-30,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,9849305572,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
2000-10-31,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,9962053959,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
2000-11-30,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,9608363498,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
2000-12-31,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,9595718870,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
2001-01-31,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,9616915249,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
2001-02-28,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,8149587818,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
2001-03-31,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,10684397063,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
2001-04-30,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,9407450173,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
2001-05-31,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,10598776706,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
2001-06-30,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,9876143393,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
2001-07-31,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,9895892884,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
2001-08-31,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,10895967520,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
2001-09-30,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,8984404036,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
2001-10-31,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,9781624529,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
2001-11-30,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,8787063406,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
2001-12-31,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,7923091648,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
2002-01-31,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,7838460646,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
2002-02-28,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,7136249551,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
2002-03-31,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,8000870708,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
2002-04-30,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,8837912958,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
2002-05-31,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,8578345659,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
2002-06-30,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,7552940078,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
2002-07-31,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,11308090521,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
2002-08-31,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,9996663809,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
2002-09-30,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,10566174187,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
2002-10-31,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,10826346833,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
2002-11-30,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,9038753201,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
2002-12-31,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,8741113505,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
2003-01-31,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,8520267582,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
2003-02-28,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,8954771024,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
2003-03-31,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,8996825602,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
2003-04-30,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,9763186303,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
2003-05-31,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,10309507269,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
2003-06-30,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,9455203393,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
2003-07-31,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,10210144802,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
2003-08-31,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,10198319117,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
2003-09-30,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,11957534497,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
2003-10-31,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,12640598611,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
2003-11-30,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,10266524722,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
2003-12-31,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,10811026920,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
2004-01-31,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,10079084179,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
2004-02-29,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,9549385850,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
2004-03-31,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,13329973851,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
2004-04-30,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,11295143516,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
2004-05-31,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,12839656371,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
